Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Luka Doncic,,,PG,11200,DAL,@POR,1,117,39,30,104,109,8%,25,20,21,35,33,34,51.1,54.8,42.6,67.0,34.5,57.6,5.1,,0.0,0.0
LeBron James,,,SF,10700,LAL,@BKN,0,118,34,26,105,105,-13%,14,18,20,33,34,35,47.0,52.3,42.0,62.6,34.5,52.4,4.9,,0.0,0.0
Anthony Davis,,Q,PF,10500,LAL,@BKN,0,118,29,28,105,105,-2%,11,15,19,29,34,35,53.7,53.1,41.6,64.6,31.0,47.9,4.6,,0.0,0.0
Hassan Whiteside,,P,C,9600,POR,DAL,2,113,19,25,101,108,0%,11,11,11,38,35,31,43.6,42.5,30.0,55.1,35.0,48.4,5.0,,0.0,0.0
Damian Lillard,,,PG,9300,POR,DAL,2,113,30,25,101,108,-7%,30,24,20,41,39,37,54.1,45.8,35.0,56.5,37.0,46.6,5.0,,0.0,0.0
Kyrie Irving,,,PG,8700,BKN,LAL,2,113,33,26,103,103,-2%,18,21,22,34,34,34,44.1,47.9,35.0,60.9,34.0,45.5,5.2,,0.0,0.0
Kristaps Porzingis,,,PF,8400,DAL,@POR,1,117,25,16,104,109,1%,14,14,16,28,31,32,32.6,38.3,27.6,49.0,29.5,34.8,4.1,,0.0,0.0
C.J. McCollum,,Q,SG,7700,POR,DAL,2,113,26,17,101,108,-6%,20,19,19,37,36,37,36.8,35.7,25.0,46.4,35.0,33.4,4.3,,0.0,0.0
Brad Beal,,,SG,7500,WAS,@CLE,0,114,33,21,101,113,13%,23,21,22,36,31,36,39.2,44.4,32.9,55.9,33.0,41.1,5.5,,0.0,0.0
Kevin Love,,,PF,7000,CLE,WAS,2,116,24,18,106,113,4%,17,16,13,32,34,32,35.8,34.9,24.1,45.7,32.5,39.7,5.7,,0.0,0.0
Spencer Dinwiddie,,,SG,6500,BKN,LAL,2,113,32,18,103,103,-2%,15,14,18,31,32,32,27.4,36.5,25.7,47.3,33.0,34.6,5.3,,0.0,0.0
Carmelo Anthony,,,SF,6200,POR,DAL,2,113,22,14,101,108,0%,14,13,14,38,36,33,29.1,28.8,18.9,38.8,34.0,30.2,4.9,,0.0,0.0
Collin Sexton,,,PG,6000,CLE,WAS,2,116,27,15,106,113,6%,19,19,16,34,34,32,31.5,27.7,20.9,34.5,34.5,33.6,5.6,,0.0,0.0
Tristan Thompson,,,C,5900,CLE,WAS,2,116,18,17,106,113,7%,9,8,10,36,31,32,27.2,32.0,20.3,43.6,33.0,33.1,5.6,,0.0,0.0
Jarrett Allen,,,PF,5700,BKN,LAL,2,113,15,21,103,103,-11%,6,6,7,30,28,27,28.6,30.7,19.7,41.6,32.5,33.9,5.9,,0.0,0.0
Tim Hardaway Jr.,,,SF,5500,DAL,@POR,1,117,22,15,104,109,9%,14,13,12,31,29,27,27.3,22.1,12.2,32.1,30.0,24.6,4.5,,0.0,0.0
Dwight Howard,,,C,5200,LAL,@BKN,0,118,14,19,105,105,8%,5,6,4,23,24,20,31.0,22.5,13.0,32.0,21.0,26.1,5.0,,0.0,0.0
Ian Mahinmi,,,C,5100,WAS,@CLE,0,114,17,16,101,113,4%,9,8,6,29,28,23,32.5,24.5,13.7,35.3,22.5,22.6,4.4,,0.0,0.0
Boban Marjanovic,,,C,5000,DAL,@POR,1,117,,,104,109,4%,10,7,5,18,12,11,18.8,13.5,1.9,25.1,13.0,17.1,3.4,,0.0,0.0
Jordan McRae,,,SG,5000,WAS,@CLE,0,114,25,16,101,113,13%,11,11,12,30,23,24,21.3,24.7,11.9,37.6,25.0,26.7,5.3,,0.0,0.0
Ishmael Smith,,,PG,4900,WAS,@CLE,0,114,20,14,101,113,7%,7,8,10,27,27,27,21.2,24.0,13.1,34.9,25.5,24.4,5.0,,0.0,0.0
JaVale McGee,,,C,4900,LAL,@BKN,0,118,15,22,105,105,8%,7,5,5,18,20,17,26.7,21.4,11.3,31.5,17.0,23.2,4.7,,0.0,0.0
Troy Brown,,,SF,4800,WAS,@CLE,0,114,17,14,101,113,7%,7,7,9,23,24,26,20.1,23.7,12.7,34.6,25.0,22.4,4.7,,0.0,0.0
Kyle Kuzma,,P,PF,4800,LAL,@BKN,0,118,23,12,105,105,-2%,11,12,12,26,28,25,22.9,20.6,11.2,30.1,26.0,21.4,4.5,,0.0,0.0
Maxi Kleber,,,PF,4800,DAL,@POR,1,117,14,14,104,109,1%,8,7,7,32,30,25,24.4,20.0,12.4,27.6,30.5,24.3,5.1,,0.0,0.0
Taurean Waller-Prince,,,SF,4700,BKN,LAL,2,113,20,10,103,103,-4%,12,10,12,27,28,31,21.6,25.6,16.4,34.8,29.5,23.8,5.1,,0.0,0.0
Darius Garland,,,PG,4700,CLE,WAS,2,116,22,9,106,113,6%,17,15,12,37,32,30,23.2,19.7,11.7,27.7,35.0,27.7,5.9,,0.0,0.0
