Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Giannis Antetokounmpo,6.0,,SF,11800,MIL,MIN,1.0,120.0,38.0,34.0,105,108,-4%,21,17,20,29,29,31,53.1,58.4,47.0,69.8,29.0,55.5,4.7,31.5,60.4,5.1
LeBron James,14.0,,SF,11000,LAL,PHO,2.0,119.0,34.0,26.0,105,109,1%,13,18,20,36,36,36,49.6,52.3,41.5,63.2,35.5,54.5,5.0,38.1,68.6,6.2
Anthony Davis,9.0,P,PF,10800,LAL,PHO,2.0,119.0,30.0,29.0,105,109,-2%,14,19,19,36,38,35,50.4,53.2,42.6,63.7,35.5,55.8,5.2,37.9,42.2,3.9
Karl-Anthony Towns,,O,C,10000,MIN,@MIL,1.0,102.0,29.0,29.0,107,99,3%,19,17,18,36,36,34,50.1,52.1,40.4,63.8,0.0,0.0,0.0,0.0,0.0,0.0
Damian Lillard,8.0,,PG,9300,POR,@NYK,1.0,115.0,30.0,25.0,101,110,2%,19,21,20,39,38,38,46.3,45.2,35.7,54.7,37.5,45.6,4.9,35.4,36.0,3.9
Hassan Whiteside,11.0,,C,9100,POR,@NYK,1.0,115.0,20.0,25.0,101,110,-5%,12,10,11,36,33,29,46.3,41.2,29.0,53.3,33.5,45.2,5.0,33.1,46.4,5.1
Brad Beal,2.0,,SG,8800,WAS,ORL,1.0,110.0,33.0,21.0,100,105,2%,31,26,22,37,38,37,52.4,45.3,33.7,56.9,34.0,42.9,4.9,30.3,37.3,4.2
Nikola Vucevic,3.0,,C,8400,ORL,@WAS,1.0,113.0,25.0,23.0,106,114,6%,18,18,16,34,33,32,46.7,41.7,31.3,52.0,32.5,43.3,5.2,30.5,39.4,4.7
Julius Randle,14.0,,PF,7500,NYK,POR,3.0,111.0,27.0,17.0,104,109,-1%,24,19,15,37,33,32,41.5,34.3,24.9,43.8,34.5,39.3,5.2,29.9,45.1,6.0
Khris Middleton,11.0,,SG,7400,MIL,MIN,1.0,120.0,26.0,21.0,105,108,7%,18,18,15,32,31,29,39.5,33.2,25.8,40.6,30.5,35.5,4.8,32.5,31.6,4.3
Ricky Rubio,5.0,,PG,7300,PHO,@LAL,1.0,108.0,24.0,17.0,103,102,-3%,14,12,13,34,32,33,38.0,36.7,26.7,46.7,33.5,34.5,4.7,26.0,26.5,3.6
Devin Booker,16.0,,SG,7200,PHO,@LAL,1.0,108.0,29.0,20.0,103,102,-1%,21,19,18,39,37,36,40.6,38.6,26.6,50.7,37.0,37.0,5.1,37.2,41.9,5.8
C.J. McCollum,7.0,,SG,7100,POR,@NYK,1.0,115.0,26.0,17.0,101,110,-1%,19,21,20,38,38,37,34.6,36.2,24.5,47.9,37.5,35.8,5.0,32.4,27.8,3.9
Deandre Ayton,4.0,,C,7000,PHO,@LAL,1.0,108.0,,,103,102,-14%,14,14,14,22,26,26,34.2,34.2,19.9,48.4,27.0,29.8,4.3,31.5,39.8,5.7
Andrew Wiggins,,O,SG,7000,MIN,@MIL,1.0,102.0,29.0,18.0,107,99,-13%,23,22,21,41,39,36,37.3,39.2,29.7,48.6,0.0,0.0,0.0,0.0,0.0,0.0
Kelly Oubre,8.0,,SF,6900,PHO,@LAL,1.0,108.0,21.0,15.0,103,102,-4%,18,14,14,41,36,34,36.4,33.1,21.4,44.8,36.0,32.4,4.7,36.3,45.7,6.6
Mitchell Robinson,7.0,,C,6800,NYK,POR,3.0,111.0,15.0,24.0,104,109,9%,6,6,6,21,23,23,30.1,27.4,19.2,35.7,25.5,32.9,4.8,27.4,37.6,5.5
Jonathan Isaac,3.0,,SF,6700,ORL,@WAS,1.0,113.0,18.0,17.0,106,114,5%,13,10,11,31,31,31,39.8,34.5,22.7,46.4,33.0,35.0,5.2,2.0,6.2,0.9
Gorgui Dieng,12.0,,C,6200,MIN,@MIL,1.0,102.0,17.0,18.0,107,99,3%,10,10,6,28,33,17,39.6,20.2,6.7,33.6,30.0,37.1,6.0,23.5,25.7,4.1
Aaron Gordon,,O,PF,6100,ORL,@WAS,1.0,113.0,21.0,13.0,106,114,5%,13,14,13,28,30,32,30.5,29.3,20.0,38.6,0.0,0.0,0.0,0.0,0.0,0.0
