Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
LeBron James,14.0,,SF,11000,LAL,@SAC,0,116.0,34.0,26.0,100,109,0%,20,17,20,37,34,35,46.4,52.1,42.0,62.1,35.0,52.7,4.8,33.6,47.5,4.3
Luka Doncic,0,O,PG,10500,DAL,ATL,0,120.0,39.0,29.0,106,111,0%,20,23,21,29,33,34,47.8,53.8,41.5,66.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Davis,13.0,,PF,10300,LAL,@SAC,0,116.0,29.0,28.0,100,109,-9%,22,15,19,39,33,35,48.6,53.1,41.0,65.3,35.0,52.5,5.1,29.7,41.8,4.1
Damian Lillard,17.0,,PG,10200,POR,UTA,0,111.0,31.0,26.0,101,105,-2%,26,28,21,40,41,38,73.1,48.8,36.0,61.5,37.5,49.3,4.8,36.3,73.4,7.2
Trae Young,16.0,,PG,9900,ATL,@DAL,1,116.0,36.0,25.0,101,109,-6%,18,20,22,33,36,36,59.7,49.5,36.3,62.8,36.5,52.1,5.3,26.3,16.7,1.7
Brad Beal,14.0,,SG,9600,WAS,BKN,1,121.0,33.0,23.0,104,106,-2%,24,23,22,36,36,36,54.9,45.4,34.0,56.9,36.5,49.5,5.2,35.9,60.2,6.3
Ben Simmons,1.0,,PG,9300,PHI,@BOS,1,107.0,22.0,21.0,102,103,-11%,13,12,12,35,38,37,53.5,44.2,32.4,56.0,37.5,42.4,4.6,37.4,40.3,4.3
Joel Embiid,11.0,,C,9200,PHI,@BOS,1,107.0,31.0,25.0,102,103,-3%,14,15,16,30,33,31,42.7,46.6,35.4,57.7,32.0,46.3,5.0,23.4,20.5,2.2
Kyrie Irving,12.0,,PG,8900,BKN,@WAS,0,122.0,33.0,26.0,105,114,7%,20,20,22,32,34,34,48.3,48.3,34.9,61.7,33.0,48.1,5.4,28.6,21.8,2.4
Rudy Gobert,7.0,,C,8700,UTA,@POR,1,117.0,17.0,23.0,104,110,4%,9,9,9,35,35,35,45.3,42.5,32.4,52.6,35.5,45.5,5.2,32.1,33.2,3.8
DeMar DeRozan,8.0,,SG,8600,SAS,CHA,2,112.0,27.0,22.0,99,111,2%,20,16,16,37,36,35,41.0,39.6,30.8,48.4,35.0,42.6,5.0,32.8,39.4,4.6
Hassan Whiteside,5.0,,C,8500,POR,UTA,0,111.0,19.0,25.0,101,105,0%,12,11,11,31,35,31,50.4,43.0,30.2,55.9,33.0,44.6,5.2,34.8,52.2,6.1
Domas Sabonis,11.0,,PF,8400,IND,NYK,2,112.0,23.0,21.0,101,111,-3%,15,13,14,40,36,35,40.8,41.9,32.7,51.1,35.0,42.5,5.1,34.7,34.6,4.1
Jimmy Butler,7.0,,SG,8300,MIA,@ORL,3,106.0,26.0,24.0,100,105,2%,13,13,13,34,33,35,40.0,42.8,34.2,51.5,34.0,40.2,4.8,34.1,35.1,4.2
Nikola Vucevic,11.0,,C,8100,ORL,MIA,4,104.0,26.0,22.0,100,106,-6%,15,18,17,30,32,32,39.8,41.6,32.2,51.0,32.5,41.6,5.1,34.2,42.8,5.3
Bam Adebayo,5.0,,PF,8000,MIA,@ORL,3,106.0,20.0,21.0,100,105,-8%,14,11,11,33,36,35,35.6,40.6,29.9,51.2,34.5,37.9,4.7,38.2,47.3,5.9
De'Aaron Fox,10.0,,PG,7900,SAC,LAL,1,110.0,31.0,21.0,103,103,-1%,20,17,16,31,31,32,44.7,39.7,27.6,51.8,33.0,43.7,5.5,33.0,34.7,4.4
Julius Randle,1.0,,PF,7800,NYK,@IND,2,101.0,28.0,17.0,101,105,-7%,17,17,16,36,35,33,37.8,35.7,27.0,44.3,34.5,36.4,4.7,34.8,45.1,5.8
John Collins,15.0,,PF,7600,ATL,@DAL,1,116.0,22.0,22.0,101,109,-1%,14,15,14,33,31,31,43.3,39.4,29.1,49.8,33.5,43.7,5.8,33.0,37.2,4.9
Kemba Walker,0,O,PG,7600,BOS,PHI,1,106.0,28.0,22.0,101,103,-6%,16,18,18,35,34,33,41.6,38.3,26.8,49.8,0.0,0.0,0.0,0.0,0.0,0.0
D'Angelo Russell,14.0,,SG,7600,GSW,@CLE,1,112.0,33.0,20.0,101,113,7%,20,22,20,33,34,33,41.4,39.2,26.2,52.1,33.0,42.2,5.6,28.9,37.4,4.9
Jayson Tatum,6.0,,PF,7500,BOS,PHI,1,106.0,27.0,19.0,101,103,-5%,18,19,18,28,33,34,41.0,38.7,28.2,49.1,33.5,38.3,5.1,28.6,40.6,5.4
Donovan Mitchell,10.0,,SG,7500,UTA,@POR,1,117.0,31.0,20.0,104,110,-4%,16,20,21,34,35,35,37.8,38.9,29.8,47.9,35.0,38.8,5.2,32.4,34.4,4.6
LaMarcus Aldridge,5.0,,PF,7400,SAS,CHA,2,112.0,22.0,21.0,99,111,7%,9,13,15,36,35,34,38.3,38.3,27.5,49.1,33.0,38.7,5.2,27.8,22.4,3.0
C.J. McCollum,2.0,,SG,7300,POR,UTA,0,111.0,26.0,17.0,101,105,-9%,21,20,20,39,38,37,38.4,35.8,25.4,46.2,36.0,34.6,4.7,34.0,22.6,3.1
Kristaps Porzingis,0,O,PF,7200,DAL,ATL,0,120.0,25.0,16.0,106,111,8%,14,14,15,28,27,31,32.1,36.3,24.2,48.4,0.0,0.0,0.0,0.0,0.0,0.0
Spencer Dinwiddie,6.0,,SG,7100,BKN,@WAS,0,122.0,31.0,18.0,105,114,7%,14,12,17,30,32,32,33.4,36.7,26.8,46.6,30.5,35.9,5.1,30.6,37.8,5.3
Terry Rozier,1.0,,PG,6900,CHA,@SAS,1,103.0,25.0,15.0,102,110,6%,19,14,15,36,35,35,32.8,31.6,20.9,42.3,36.0,32.1,4.7,35.0,17.5,2.5
Tobias Harris,9.0,,SF,6800,PHI,@BOS,1,107.0,23.0,17.0,102,103,-2%,13,16,16,36,37,35,34.5,35.2,26.1,44.4,35.5,33.9,5.0,32.4,19.7,2.9
Malcolm Brogdon,4.0,,PG,6800,IND,NYK,2,112.0,28.0,19.0,101,111,0%,11,14,15,29,31,32,32.2,36.4,27.3,45.5,31.0,34.1,5.0,33.3,31.4,4.6
Elfrid Payton,0,O,PG,6700,NYK,@IND,2,101.0,21.0,15.0,101,105,-1%,13,10,10,34,33,28,36.3,28.9,19.4,38.4,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Love,3.0,,PF,6700,CLE,GSW,1,113.0,24.0,18.0,103,110,-1%,14,15,13,29,30,32,31.9,34.5,24.2,44.8,31.5,36.5,5.4,29.2,36.7,5.5
Gordon Hayward,5.0,,SF,6600,BOS,PHI,1,106.0,22.0,19.0,101,103,-5%,15,14,13,35,35,33,37.0,32.9,22.3,43.4,34.0,33.6,5.1,35.5,19.8,3.0
Devonte' Graham,2.0,,SG,6600,CHA,@SAS,1,103.0,27.0,16.0,102,110,6%,11,12,16,35,35,36,25.8,35.3,25.4,45.3,36.0,33.2,5.0,37.2,23.7,3.6
Al Horford,3.0,,PF,6500,PHI,@BOS,1,107.0,19.0,16.0,102,103,0%,10,11,12,33,32,31,30.2,31.2,22.3,40.1,30.5,30.1,4.6,28.9,24.8,3.8
Jaylen Brown,6.0,,SF,6400,BOS,PHI,1,106.0,24.0,18.0,101,103,-5%,15,15,15,34,35,34,33.7,33.8,24.8,42.8,35.5,36.0,5.6,36.4,46.3,7.2
Jarrett Allen,2.0,,PF,6200,BKN,@WAS,0,122.0,15.0,20.0,105,114,5%,6,7,7,28,32,28,31.0,30.7,19.5,41.9,27.5,30.2,4.9,27.0,44.5,7.2
Collin Sexton,7.0,,PG,6100,CLE,GSW,1,113.0,27.0,16.0,103,110,8%,19,17,16,32,35,32,35.2,28.5,21.2,35.7,33.5,34.0,5.6,33.0,39.4,6.5
Buddy Hield,2.0,,SG,5900,SAC,LAL,1,110.0,27.0,15.0,103,103,2%,13,17,18,25,32,34,36.2,32.7,22.5,42.8,27.5,27.7,4.7,29.6,33.8,5.7
T.J. Warren,3.0,,SF,5900,IND,NYK,2,112.0,22.0,17.0,101,111,1%,14,15,14,35,32,33,33.0,28.9,17.6,40.2,32.0,29.0,4.9,23.3,12.2,2.1
Marcus Smart,5.0,,SG,5800,BOS,PHI,1,106.0,19.0,14.0,101,103,-6%,15,12,11,32,32,32,30.0,29.1,18.2,40.1,34.5,31.8,5.5,34.2,28.8,5.0
Draymond Green,7.0,,PF,5800,GSW,@CLE,1,112.0,18.0,12.0,101,113,3%,8,7,8,30,31,29,31.6,29.2,18.7,39.7,30.5,30.6,5.3,25.8,50.4,8.7
Marcus Morris,4.0,,SF,5700,NYK,@IND,2,101.0,24.0,17.0,101,105,-7%,19,17,15,31,34,33,29.0,30.3,19.3,41.3,34.5,28.1,4.9,34.6,36.2,6.4
Bojan Bogdanovic,10.0,,SF,5600,UTA,@POR,1,117.0,25.0,16.0,104,110,8%,15,16,16,35,34,34,28.5,28.7,20.4,37.0,33.5,29.6,5.3,28.9,27.9,5.0
Carmelo Anthony,4.0,,SF,5600,POR,UTA,0,111.0,22.0,13.0,101,105,-5%,12,14,14,34,36,33,28.6,29.1,19.4,38.7,33.0,28.1,5.0,32.0,22.5,4.0
Marvin Bagley,0,O,PF,5600,SAC,LAL,1,110.0,25.0,16.0,103,103,-6%,16,14,13,34,28,26,29.4,27.1,21.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0
