Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Giannis Antetokounmpo,6,,SF,11600,MIL,PHO,1,123,38,33,104,108,-1%,23,22,20,32,31,31,59.2,57.5,46.3,68.7,31.5,58.1,5.0,30.6,65.3,5.6
Russell Westbrook,10,,PG,11200,HOU,NOR,1,127,34,21,106,110,6%,29,28,23,41,39,36,62.0,50.1,38.8,61.4,37.5,58.8,5.2,36,40.7,3.6
James Harden,13,,SG,11000,HOU,NOR,1,127,37,29,106,110,6%,22,20,24,38,36,38,46.6,58.7,45.3,72.0,37.0,62.6,5.7,38.8,67.5,6.1
Nikola Jokic,9,,C,10000,DEN,@DET,1,107,28,24,101,110,1%,18,18,15,34,36,32,51.6,44.2,33.0,55.5,34.0,50.0,5.0,39.8,80.5,8.1
Andre Drummond,6,,C,9500,DET,DEN,1,105,25,22,100,106,-3%,14,14,14,35,36,34,45.9,48.5,36.3,60.8,34.5,48.9,5.1,30.2,51.4,5.4
Devin Booker,7,,SG,8900,PHO,@MIL,1,111,30,21,107,100,-2%,19,19,18,35,36,37,41.5,40.9,28.6,53.2,37.5,43.1,4.8,33.8,44.4,5.0
Pascal Siakam,5,,SF,8500,TOR,CHI,1,112,29,19,102,106,9%,15,18,20,35,33,36,42.2,42.1,32.6,51.6,34.5,43.9,5.2,28,33.3,3.9
Deandre Ayton,9,,C,8200,PHO,@MIL,1,111,22,20,107,100,0%,15,14,15,34,35,34,37.7,40.7,31.5,49.8,36.5,42.8,5.2,29.8,43.8,5.3
Zach LaVine,8,,SG,8100,CHI,@TOR,1,103,31,20,103,102,-3%,20,23,20,40,38,35,41.6,39.1,26.8,51.3,36.0,41.6,5.1,33.4,42.9,5.3
Jrue Holiday,12,,SG,7800,NOR,@HOU,1,122,26,18,106,107,2%,18,16,18,34,35,36,43.4,40.5,30.5,50.5,34.5,41.2,5.3,33.6,22.6,2.9
Brandon Ingram,7,,SF,7700,NOR,@HOU,1,122,29,21,106,107,6%,13,14,18,28,31,35,30.4,41.6,31.7,51.5,34.0,39.5,5.1,38.2,42.9,5.6
Clint Capela,,O,C,7500,HOU,NOR,1,127,16,21,106,110,3%,10,10,10,31,31,34,34.9,40.1,28.7,51.5,0.0,0.0,0.0,0,0.0,0.0
Fred Van Vleet,6,,SG,7300,TOR,CHI,1,112,23,17,102,106,-15%,12,13,15,36,36,37,36.2,38.2,28.5,47.9,35.5,35.8,4.9,32.2,28.8,3.9
Khris Middleton,6,,SG,7200,MIL,PHO,1,123,26,22,104,108,1%,19,15,15,36,33,30,42.5,34.8,25.6,44.1,31.5,37.7,5.2,32.9,44.6,6.2
Derrick Rose,6,,PG,7100,DET,DEN,1,105,32,22,100,106,-5%,16,18,16,30,32,27,37.5,32.0,23.7,40.4,31.5,35.8,5.0,12.9,5.2,0.7
Kyle Lowry,7,,PG,7000,TOR,CHI,1,112,24,17,102,106,-15%,13,12,15,34,35,38,36.3,38.9,30.5,47.3,34.5,35.4,5.1,29.5,28.8,4.1
Kelly Oubre,5,,SF,6800,PHO,@MIL,1,111,21,15,107,100,-10%,16,16,15,35,35,35,36.4,34.6,23.9,45.3,37.0,34.7,5.1,36.3,33.0,4.9
Lonzo Ball,7,,PG,6600,NOR,@HOU,1,122,21,13,106,107,2%,10,9,11,33,35,31,35.5,31.0,19.3,42.6,34.5,35.1,5.3,37.3,47.7,7.2
Zion Williamson,12,,PF,6500,NOR,@HOU,1,122,,,106,107,6%,14,13,13,29,25,25,30.9,30.9,26.4,35.3,29.5,39.0,6.0,33,37.5,5.8
Jerami Grant,5,,PF,6400,DEN,@DET,1,107,18,14,101,110,-1%,11,13,9,33,34,26,35.8,20.7,10.9,30.5,33.5,30.8,4.8,45.1,29.8,4.7
Eric Bledsoe,11,,PG,6100,MIL,PHO,1,123,25,19,104,108,4%,16,11,12,31,30,27,32.3,31.2,20.8,41.6,29.0,33.9,5.6,31.6,28.4,4.7
Will Barton,8,,SF,6000,DEN,@DET,1,107,20,16,101,110,-4%,16,13,13,35,32,34,29.8,32.7,23.1,42.3,33.5,31.4,5.2,36.6,37.3,6.2
